Address,Distance from fort,min_dist_nearest_bank,min_dist_nearest_Supermarket,min_dist_nearest_express,min_dist_nearest_railway
kahawala,36.64,7.594352849,7.948173336,13.86521075,7.511854
grandpass,6.89,0.999755514,1.255491869,0.88874305,1.423243732
buthgamuwa,9.61,1.038703539,1.06259087,3.481613553,2.679374305
mavittara,19.36,0.644358863,0.558162696,5.790118043,5.087375877
pelenwatta,18.22,2.464115194,0.992702223,5.050106602,2.905410688
gorakapitiya,19.47,2.354023334,0.809154273,4.513380733,3.451780696
makuludoowa,18.23,1.454507738,0.699815373,6.553311579,3.869207751
pathiragoda,13.84,0.827048891,0.468661985,7.205728047,0.448858811
bellanwila,12.33,0.563184515,0.118275163,10.78298116,2.488634494
borupana,15.79,1.648866988,0.584346209,9.009921464,3.884337052
dedigamuwa,23.19,3.753772636,3.51347514,5.805024232,4.826494815
mattakkuliya,6.73,0.538187595,0.543993094,2.160657347,2.397392981
thunnana,28.04,3.237731445,3.083817336,10.39370371,4.096131933
godagama,25.05,0.157991858,0.375674414,5.746503894,0.306706658
nedimala,11.77,0.106973392,0.182098855,11.38133063,1.883167861
mirihana,11.16,0.161932175,0.057423149,8.393725938,1.168514876
welihinda,17.78,1.660327558,1.39430173,0.581923177,8.46765909
pamankada,8.64,0.008397406,0.35812499,8.629160454,1.365402286
wattegedara,14.62,0.055236581,0.101209935,6.779820325,0.424261
pore,18.99,0.423050478,0.08690014,1.017527418,3.848115313
thunadahena,17.55,2.404134968,1.352554897,2.190662202,6.554829238
kalubowila,10.12,0.09525586,0.1261487,9.739960244,1.63779857
kalapaluwawa,10.69,0.675773505,1.099343865,5.653280045,3.840661249
kahapola,23.35,2.440272677,4.342252902,7.240532484,3.612711021
gangodawila,12.26,0.156931782,0.326595251,8.538297557,0.717314373
kolonnawa,7.32,0.092366577,0.061041341,2.583882255,1.340354312
delthara,20.02,1.916686516,1.421663841,7.332161248,3.70009948
uduwana,23.75,1.781127438,1.136606202,3.08436925,2.215013757
kirigampamunuwa,22.7,0.702644063,0.861949741,2.337093727,4.295901225
lakshapathiya,16.64,0.792289175,0.089125709,11.41432897,0.684413524
siddamulla,20.26,1.353256456,0.258697703,3.755539704,3.334268521
rukmale,18.81,1.743333232,1.376088095,2.132084935,1.424440669
panagoda,23.52,1.79869111,1.44591556,5.391227259,2.05266268
jambugasmulla,11.09,0.480903936,0.344003826,9.414398438,0.514055548
kadugoda,34.38,2.070585062,5.205830928,17.20564379,0.019538774
rawathawatta,18.24,0.218695862,0.453898186,10.54310551,1.078809575
katuwawala,15.61,1.094447394,0.197954158,7.844997389,2.642167315
thimbirigasyaya,6.91,0.57541718,0.426874198,6.394245945,0.920806927
jalthara,24.63,3.785444416,3.709278583,7.550916441,5.668288007
magammana,22.23,1.614189459,1.089978011,2.084154269,2.774966866
moratumulla,19.08,0.409513185,0.602662223,9.726779639,1.475775745
angulana,16.59,1.376162129,0.686165524,11.97471579,0.081116297
nampamunuwa,19.71,1.620328235,0.677020622,4.82012831,4.139335299
welivita,15.1,1.986464842,1.374958572,1.368499213,7.773051525
mahalwarawa,18.23,0.43683538,0.488763295,2.705058074,1.020662977
thumbovila,17.19,1.427269434,0.668438761,8.463246017,4.167427536
depanama,16.29,1.263830475,0.437906072,4.42688598,1.116855587
batakettara,20.6,1.798092586,1.152219705,6.381005066,4.599591077
wewala,17.81,1.056657023,0.601691486,8.425925973,3.760728419
moonamale,25.55,3.448195772,2.21801581,3.667961737,4.885572466
werahera,15.49,1.04889687,0.199508455,8.500631712,3.152572201
modara,4.99,0.912486105,0.196485318,2.480178372,3.583352939
bangalawatta,18.78,0.627845532,0.664091802,2.497388187,1.230063166
palagama,24.28,2.695934698,3.019459601,2.491812444,8.12080794
karagampitiya,11.35,0.154172884,0.117693578,11.56867984,1.096494127
himbutana,12.81,1.38023374,0.186265789,3.810259639,6.162879321
honnanthara,20.24,0.829883185,0.912161919,4.504986165,4.95573539
niwanthidiya,17.19,1.426804426,0.68220899,6.049847769,2.493982297
katukurunda,22.96,0.321212936,2.946017003,10.69856876,0.239087891
slave island,3.38,0.167856471,0.715642094,4.797550118,0.135362358
kolamunna,19.58,0.68748411,0.049677963,6.488082328,4.963431038
pinnawala,22.17,2.80954139,2.630816887,5.789978157,5.043788988
waga,33.77,0.081454364,4.250443413,16.57355774,0.072923512
uggalla,32.68,2.790312897,3.134774723,14.37716727,0.48593372
kahahena,33.88,0.07530396,4.355005079,16.68061015,0.161477302
kotuvila,6.95,1.138114226,1.366106767,0.811905795,1.567727162
madampitiya,6.09,0.592872305,0.741455329,1.182151396,2.139994458
malapalla,19.42,0.685507142,0.221702859,1.258659367,0.349084114
